g_Amp,Ang_Deg,Mag_Amp,Ang_Deg,Results
0,0,0.001,-180,FALSE
0.25,0,0.155,-180,FALSE
0.25,0,0.145,-180,FALSE
0.25,0,0.105,-180,FALSE
0.25,0,0.095,-180,TRUE
0.25,0,0,-180,TRUE
0.25,0,0.25,0,TRUE
1.5,0,1.13,-180,FALSE
1.5,0,1.12,-180,FALSE
1.5,0,0.305,-180,FALSE
1.5,0,0.295,-180,TRUE
1.5,0,0,0,TRUE
1.5,0,1.5,0,TRUE
3,0,1.785,-180,FALSE
3,0,1.78,-180,FALSE
3,0,0.61,-180,FALSE
3,0,0.59,-180,TRUE
3,0,0,-180,TRUE
3,0,1.79,0,TRUE
3,0,1.81,0,TRUE
3,0,3,0,TRUE
4,0,2.07,-180,FALSE
4,0,2.065,-180,FALSE
4,0,0.81,-180,FALSE
4,0,0.79,-180,TRUE
4,0,0,-180,TRUE
4,0,4,0,TRUE
5,0,2.36,-180,FALSE
5,0,2.34,-180,FALSE
5,0,1.1,-180,FALSE
5,0,0.9,-180,TRUE
5,0,0.21,-180,TRUE
5,0,0.19,-180,TRUE
5,0,0,-180,TRUE
5,0,5,0,TRUE
5.5,0,2.5,-180,FALSE
5.5,0,2.4,-180,FALSE
5.5,0,1.15,-180,FALSE
5.5,0,1.05,-180,TRUE
5.5,0,0.71,-180,TRUE
5.5,0,0.69,-180,TRUE
5.75,0,2.6,-180,FALSE
5.75,0,2.5,-180,FALSE
5.75,0,1.16,-180,FALSE
5.75,0,1.14,-180,TRUE
5.75,0,1,-180,TRUE
5.75,0,0.9,-180,TRUE
5.75,0,5.75,-180,FALSE
5.75,0,2.6,-180,FALSE
5.75,0,2.5,-180,FALSE
5.75,0,1.16,-180,FALSE
5.75,0,1.14,-180,TRUE
5.75,0,1,-180,TRUE
5.75,0,0.9,-180,TRUE
6,0,2.64,-180,FALSE
6,0,2.63,-180,FALSE
6,0,1.21,-180,FALSE
6,0,1.19,-180,TRUE
6,0,6,-180,FALSE
6,0,2.64,-180,FALSE
6,0,2.63,-180,FALSE
6,0,1.21,-180,FALSE
6,0,1.19,-180,TRUE
6.5,0,2.78,-180,FALSE
6.5,0,2.7,-180,FALSE
6.5,0,1.71,-180,FALSE
6.5,0,1.69,-180,TRUE
6.5,0,1.35,-180,TRUE
6.5,0,1.25,-180,TRUE
6.5,0,6.5,-180,FALSE
6.5,0,2.78,-180,FALSE
6.5,0,2.7,-180,FALSE
6.5,0,1.71,-180,FALSE
6.5,0,1.69,-180,FALSE
6.5,0,1.35,-180,FALSE
6.5,0,1.25,-180,TRUE
7,0,2.92,-180,FALSE
7,0,2.915,-180,FALSE
7,0,2.21,-180,FALSE
7,0,2.19,-180,TRUE
7,0,1.41,-180,TRUE
7,0,1.39,-180,TRUE
7,0,0,-180,TRUE
7,0,7,0,TRUE
7,0,7,-180,FALSE
7,0,2.92,-180,FALSE
7,0,2.915,-180,FALSE
7,0,2.21,-180,FALSE
7,0,2.19,-180,FALSE
7,0,1.41,-180,FALSE
7,0,1.39,-180,TRUE
7,0,0,-180,TRUE
7,0,7,-180,FALSE
7.5,0,3.1,-180,FALSE
7.5,0,3,-180,FALSE
7.5,0,2.71,-180,FALSE
7.5,0,2.69,-180,TRUE
7.5,0,1.51,-180,TRUE
7.5,0,1.49,-180,TRUE
7.5,0,7.5,-180,FALSE
7.5,0,3.1,-180,FALSE
7.5,0,3,-180,FALSE
7.5,0,2.71,-180,FALSE
7.5,0,2.69,-180,FALSE
7.5,0,1.51,-180,FALSE
7.5,0,1.49,-180,TRUE
8,0,3.21,-180,FALSE
8,0,3.19,-180,TRUE
8,0,1.61,-180,TRUE
8,0,1.59,-180,TRUE
8,0,8,-180,FALSE
8,0,3.21,-180,FALSE
8,0,3.19,-180,FALSE
8,0,1.61,-180,FALSE
8,0,1.59,-180,TRUE
8.5,0,3.45,-180,FALSE
8.5,0,3.35,-180,TRUE
8.5,0,1.71,-180,TRUE
8.5,0,1.69,-180,TRUE
8.5,0,8.5,-180,FALSE
8.5,0,3.45,-180,FALSE
8.5,0,3.35,-180,FALSE
8.5,0,1.71,-180,FALSE
8.5,0,1.69,-180,TRUE
9,0,3.61,-180,FALSE
9,0,3.59,-180,TRUE
9,0,1.81,-180,TRUE
9,0,1.79,-180,TRUE
9,0,0,-180,TRUE
9,0,9,0,TRUE
9,0,9,-180,FALSE
9,0,3.61,-180,FALSE
9,0,3.59,-180,FALSE
9,0,1.81,-180,FALSE
9,0,1.79,-180,TRUE
9,0,0,-180,TRUE
9,0,9,-180,FALSE
12,0,4.81,-180,FALSE
12,0,4.79,-180,TRUE
12,0,2.01,-180,TRUE
12,0,1.99,-180,TRUE
12,0,0,-180,TRUE
12,0,12,0,TRUE
12,0,12,-180,FALSE
12,0,4.81,-180,FALSE
12,0,4.79,-180,FALSE
12,0,2.01,-180,FALSE
12,0,1.99,-180,TRUE
12,0,0,-180,TRUE
12,0,12,-180,FALSE
